,start station id,start station latitude,start station longitude,start station name,id
0,72.0,40.76727216,-73.99392888,W 52 St & 11 Ave,0
1,79.0,40.71911552,-74.00666661,Franklin St & W Broadway,1
2,82.0,40.71117416,-74.00016545,St James Pl & Pearl St,2
3,83.0,40.68382604,-73.97632328,Atlantic Ave & Fort Greene Pl,3
4,119.0,40.69608941,-73.97803415,Park Ave & St Edwards St,4
5,120.0,40.68676793,-73.95928168,Lexington Ave & Classon Ave,5
6,127.0,40.73172428,-74.00674436,Barrow St & Hudson St,6
7,128.0,40.72710258,-74.00297088,MacDougal St & Prince St,7
8,143.0,40.69239502,-73.99337909,Clinton St & Joralemon St,8
9,144.0,40.69839895,-73.98068914,Nassau St & Navy St,9
10,146.0,40.71625008,-74.0091059,Hudson St & Reade St,10
11,150.0,40.7208736,-73.98085795,E 2 St & Avenue C,11
12,151.0,40.722103786686034,-73.99724900722504,Cleveland Pl & Spring St,12
13,157.0,40.69089272,-73.99612349,Henry St & Atlantic Ave,13
14,161.0,40.72917025,-73.99810231,LaGuardia Pl & W 3 St,14
15,164.0,40.75323098,-73.97032517,E 47 St & 2 Ave,15
16,167.0,40.7489006,-73.97604882,E 39 St & 3 Ave,16
17,168.0,40.73971301,-73.99456405,W 18 St & 6 Ave,17
18,173.0,40.76068327096592,-73.9845272898674,Broadway & W 49 St,18
19,174.0,40.7381765,-73.97738662,E 25 St & 1 Ave,19
20,195.0,40.70905623,-74.01043382,Liberty St & Broadway,20
21,212.0,40.74334935,-74.00681753,W 16 St & The High Line,21
22,216.0,40.70037867,-73.99548059,Columbia Heights & Cranberry St,22
23,217.0,40.70277159,-73.99383605,Old Fulton St,23
24,223.0,40.73781509,-73.99994661,W 13 St & 7 Ave,24
25,224.0,40.71146364,-74.00552427,Spruce St & Nassau St,25
26,228.0,40.7546011026,-73.971878855,E 48 St & 3 Ave,26
27,229.0,40.72743423,-73.99379025,Great Jones St,27
28,236.0,40.7284186,-73.98713956,St Marks Pl & 2 Ave,28
29,237.0,40.73047309,-73.98672378,E 11 St & 2 Ave,29
30,238.0,40.7361967,-74.00859207,Bank St & Washington St,30
31,239.0,40.69196566,-73.9813018,Willoughby St & Fleet St,31
32,241.0,40.68981035,-73.97493121,DeKalb Ave & S Portland Ave,32
33,242.0,40.697787,-73.973736,Carlton Ave & Flushing Ave,33
34,243.0,40.688226,-73.979382,Fulton St & Rockwell Pl,34
35,244.0,40.69196035,-73.96536851,Willoughby Ave & Hall St,35
36,245.0,40.69327018,-73.97703874,Myrtle Ave & St Edwards St,36
37,247.0,40.73535398,-74.00483091,Perry St & Bleecker St,37
38,248.0,40.72185379,-74.00771779,Laight St & Hudson St,38
39,249.0,40.71870987,-74.0090009,Harrison St & Hudson St,39
40,251.0,40.72317958,-73.99480012,Mott St & Prince St,40
41,252.0,40.73226398,-73.99852205,MacDougal St & Washington Sq,41
42,254.0,40.73532427,-73.99800419,W 11 St & 6 Ave,42
43,257.0,40.71939226,-74.00247214,Lispenard St & Broadway,43
44,258.0,40.68940747,-73.96885458,DeKalb Ave & Vanderbilt Ave,44
45,259.0,40.70122128,-74.01234218,South St & Whitehall St,45
46,260.0,40.70365182,-74.01167797,Broad St & Bridge St,46
47,261.0,40.69474881,-73.98362464,Johnson St & Gold St,47
48,262.0,40.6917823,-73.9737299,Washington Park,48
49,264.0,40.70706456,-74.00731853,Maiden Ln & Pearl St,49
50,265.0,40.72229346,-73.99147535,Stanton St & Chrystie St,50
51,266.0,40.72368361,-73.97574813,Avenue D & E 8 St,51
52,267.0,40.75097711,-73.98765428,Broadway & W 36 St,52
53,268.0,40.71910537,-73.99973337,Howard St & Centre St,53
54,270.0,40.69308257,-73.97178913,Adelphi St & Myrtle Ave,54
55,274.0,40.68691865,-73.976682,Lafayette Ave & Fort Greene Pl,55
56,275.0,40.68650065,-73.96563307,Washington Ave & Greene Ave,56
57,276.0,40.71748752,-74.0104554,Duane St & Greenwich St,57
58,278.0,40.69766564,-73.98476437,Concord St & Bridge St,58
59,279.0,40.707873,-74.00167,Peck Slip & Front St,59
60,280.0,40.73331967,-73.99510132,E 10 St & 5 Ave,60
61,281.0,40.7643971,-73.97371465,Grand Army Plaza & Central Park S,61
62,282.0,40.707644944175705,-73.96841526031494,Kent Ave & S 11 St,62
63,285.0,40.73454567,-73.99074142,Broadway & E 14 St,63
64,289.0,40.6845683,-73.95881081,Monroe St & Classon Ave,64
65,291.0,40.713126,-73.984844,Madison St & Montgomery St,65
66,293.0,40.73020660529954,-73.99102628231049,Lafayette St & E 8 St,66
67,295.0,40.71406667,-73.99293911,Pike St & E Broadway,67
68,296.0,40.71413089,-73.9970468,Division St & Bowery,68
69,297.0,40.734232,-73.986923,E 15 St & 3 Ave,69
70,298.0,40.68683208,-73.9796772,3 Ave & Schermerhorn St,70
71,301.0,40.72217444,-73.98368779,E 2 St & Avenue B,71
72,302.0,40.72082834,-73.97793172,Avenue D & E 3 St,72
73,303.0,40.72362738,-73.99949601,Mercer St & Spring St,73
74,304.0,40.70463334,-74.01361706,Broadway & Battery Pl,74
75,305.0,40.76095756,-73.96724467,E 58 St & 3 Ave,75
76,307.0,40.71427487,-73.98990025,Canal St & Rutgers St,76
77,308.0,40.71307916,-73.99851193,St James Pl & Oliver St,77
78,309.0,40.7149787,-74.013012,Murray St & West St,78
79,310.0,40.68926942,-73.98912867,State St & Smith St,79
80,311.0,40.7172274,-73.98802084,Norfolk St & Broome St,80
81,312.0,40.722055,-73.989111,Allen St & Stanton St,81
82,313.0,40.69610226,-73.96751037,Washington Ave & Park Ave,82
83,314.0,40.69383,-73.990539,Cadman Plaza West & Montague St,83
84,315.0,40.70355377,-74.00670227,South St & Gouverneur Ln,84
85,316.0,40.70955958,-74.00653609,Fulton St & William St,85
86,317.0,40.72453734,-73.98185424,E 6 St & Avenue B,86
87,319.0,40.711066,-74.009447,Fulton St & Broadway,87
88,320.0,40.717571,-74.005549,Leonard St & Church St,88
89,321.0,40.69991755,-73.98971773,Cadman Plaza E & Red Cross Pl,89
90,323.0,40.69236178,-73.98631746,Lawrence St & Willoughby St,90
91,324.0,40.689888,-73.981013,DeKalb Ave & Hudson Ave,91
