,day,kmeans_id
0,2019-01-01,0
1,2019-01-02,0
2,2019-01-03,0
3,2019-01-04,0
4,2019-01-05,0
5,2019-01-06,0
6,2019-01-07,0
7,2019-01-08,0
8,2019-01-09,0
9,2019-01-10,0
10,2019-01-11,0
11,2019-01-12,0
12,2019-01-13,0
13,2019-01-14,0
14,2019-01-15,0
15,2019-01-16,0
16,2019-01-17,0
17,2019-01-18,0
18,2019-01-19,0
19,2019-01-20,0
20,2019-01-21,0
21,2019-01-22,0
22,2019-01-23,0
23,2019-01-24,0
24,2019-01-25,0
25,2019-01-26,0
26,2019-01-27,0
27,2019-01-28,0
28,2019-01-29,0
29,2019-01-30,0
30,2019-01-31,0
31,2019-02-01,0
32,2019-02-02,0
33,2019-02-03,0
34,2019-02-04,0
35,2019-02-05,1
36,2019-02-06,0
37,2019-02-07,0
38,2019-02-08,0
39,2019-02-09,0
40,2019-02-10,0
41,2019-02-11,0
42,2019-02-12,0
43,2019-02-13,0
44,2019-02-14,0
45,2019-02-15,0
46,2019-02-16,0
47,2019-02-17,0
48,2019-02-18,0
49,2019-02-19,0
50,2019-02-20,0
51,2019-02-21,0
52,2019-02-22,0
53,2019-02-23,0
54,2019-02-24,0
55,2019-02-25,0
56,2019-02-26,0
57,2019-02-27,0
58,2019-02-28,0
59,2019-03-01,0
60,2019-03-02,0
61,2019-03-03,0
62,2019-03-04,0
63,2019-03-05,0
64,2019-03-06,0
65,2019-03-07,0
66,2019-03-08,0
67,2019-03-09,0
68,2019-03-10,0
69,2019-03-11,1
70,2019-03-12,0
71,2019-03-13,1
72,2019-03-14,1
73,2019-03-15,1
74,2019-03-16,0
75,2019-03-17,0
76,2019-03-18,0
77,2019-03-19,1
78,2019-03-20,1
79,2019-03-21,0
80,2019-03-22,0
81,2019-03-23,0
82,2019-03-24,2
83,2019-03-25,1
84,2019-03-26,1
85,2019-03-27,1
86,2019-03-28,1
87,2019-03-29,1
88,2019-03-30,2
89,2019-03-31,0
90,2019-04-01,1
91,2019-04-02,1
92,2019-04-03,1
93,2019-04-04,1
94,2019-04-05,0
95,2019-04-06,2
96,2019-04-07,2
97,2019-04-08,1
98,2019-04-09,1
99,2019-04-10,1
100,2019-04-11,1
101,2019-04-12,1
102,2019-04-13,2
103,2019-04-14,2
104,2019-04-15,0
105,2019-04-16,1
106,2019-04-17,1
107,2019-04-18,1
108,2019-04-19,1
109,2019-04-20,0
110,2019-04-21,2
111,2019-04-22,0
112,2019-04-23,1
113,2019-04-24,1
114,2019-04-25,1
115,2019-04-26,0
116,2019-04-27,2
117,2019-04-28,0
118,2019-04-29,1
119,2019-04-30,1
120,2019-05-01,1
121,2019-05-02,1
122,2019-05-03,1
123,2019-05-04,2
124,2019-05-05,0
125,2019-05-06,1
126,2019-05-07,1
127,2019-05-08,1
128,2019-05-09,1
129,2019-05-10,1
130,2019-05-11,2
131,2019-05-12,0
132,2019-05-13,0
133,2019-05-14,0
134,2019-05-15,1
135,2019-05-16,1
136,2019-05-17,1
137,2019-05-18,2
138,2019-05-19,2
139,2019-05-20,1
140,2019-05-21,1
141,2019-05-22,1
142,2019-05-23,1
143,2019-05-24,1
144,2019-05-25,2
145,2019-05-26,2
146,2019-05-27,2
147,2019-05-28,1
148,2019-05-29,1
149,2019-05-30,1
150,2019-05-31,1
151,2019-06-01,2
152,2019-06-02,2
153,2019-06-03,1
154,2019-06-04,1
155,2019-06-05,1
156,2019-06-06,1
157,2019-06-07,1
158,2019-06-08,2
159,2019-06-09,2
160,2019-06-10,0
161,2019-06-11,1
162,2019-06-12,1
163,2019-06-13,0
164,2019-06-14,1
165,2019-06-15,2
166,2019-06-16,2
167,2019-06-17,1
168,2019-06-18,0
169,2019-06-19,1
170,2019-06-20,1
171,2019-06-21,1
172,2019-06-22,2
173,2019-06-23,2
174,2019-06-24,1
175,2019-06-25,1
176,2019-06-26,1
177,2019-06-27,1
178,2019-06-28,1
179,2019-06-29,2
180,2019-06-30,2
181,2019-07-01,1
182,2019-07-02,1
183,2019-07-03,1
184,2019-07-04,2
185,2019-07-05,2
186,2019-07-06,2
187,2019-07-07,2
188,2019-07-08,1
189,2019-07-09,1
190,2019-07-10,1
191,2019-07-11,1
192,2019-07-12,1
193,2019-07-13,2
194,2019-07-14,2
195,2019-07-15,1
196,2019-07-16,1
197,2019-07-17,1
198,2019-07-18,1
199,2019-07-19,1
200,2019-07-20,2
201,2019-07-21,2
202,2019-07-22,1
203,2019-07-23,1
204,2019-07-24,1
205,2019-07-25,1
206,2019-07-26,1
207,2019-07-27,2
208,2019-07-28,2
209,2019-07-29,1
210,2019-07-30,1
211,2019-07-31,1
212,2019-08-01,1
213,2019-08-02,1
214,2019-08-03,2
215,2019-08-04,2
216,2019-08-05,1
217,2019-08-06,1
218,2019-08-07,1
219,2019-08-08,1
220,2019-08-09,1
221,2019-08-10,2
222,2019-08-11,2
223,2019-08-12,1
224,2019-08-13,1
225,2019-08-14,1
226,2019-08-15,1
227,2019-08-16,1
228,2019-08-17,2
229,2019-08-18,2
230,2019-08-19,1
231,2019-08-20,1
232,2019-08-21,1
233,2019-08-22,1
234,2019-08-23,1
235,2019-08-24,2
236,2019-08-25,2
237,2019-08-26,1
238,2019-08-27,1
239,2019-08-28,1
240,2019-08-29,1
241,2019-08-30,1
242,2019-08-31,2
243,2019-09-01,2
244,2019-09-02,0
245,2019-09-03,1
246,2019-09-04,1
247,2019-09-05,1
248,2019-09-06,1
249,2019-09-07,2
250,2019-09-08,2
251,2019-09-09,1
252,2019-09-10,1
253,2019-09-11,1
254,2019-09-12,1
255,2019-09-13,1
256,2019-09-14,2
257,2019-09-15,2
258,2019-09-16,1
259,2019-09-17,1
260,2019-09-18,1
261,2019-09-19,1
262,2019-09-20,1
263,2019-09-21,2
264,2019-09-22,2
265,2019-09-23,1
266,2019-09-24,1
267,2019-09-25,1
268,2019-09-26,1
269,2019-09-27,1
270,2019-09-28,2
271,2019-09-29,2
272,2019-09-30,1
273,2019-10-01,1
274,2019-10-02,1
275,2019-10-03,0
276,2019-10-04,1
277,2019-10-05,2
278,2019-10-06,2
279,2019-10-07,1
280,2019-10-08,1
281,2019-10-09,0
282,2019-10-10,1
283,2019-10-11,1
284,2019-10-12,2
285,2019-10-13,2
286,2019-10-14,1
287,2019-10-15,1
288,2019-10-16,0
289,2019-10-17,1
290,2019-10-18,1
291,2019-10-19,2
292,2019-10-20,0
293,2019-10-21,1
294,2019-10-22,1
295,2019-10-23,1
296,2019-10-24,1
297,2019-10-25,1
298,2019-10-26,2
299,2019-10-27,0
300,2019-10-28,1
301,2019-10-29,1
302,2019-10-30,1
303,2019-10-31,0
304,2019-11-01,1
305,2019-11-02,2
306,2019-11-03,0
307,2019-11-04,1
308,2019-11-05,1
309,2019-11-06,1
310,2019-11-07,1
311,2019-11-08,0
312,2019-11-09,0
313,2019-11-10,0
314,2019-11-11,1
315,2019-11-12,0
316,2019-11-13,0
317,2019-11-14,1
318,2019-11-15,1
319,2019-11-16,0
320,2019-11-17,0
321,2019-11-18,0
322,2019-11-19,1
323,2019-11-20,1
324,2019-11-21,1
325,2019-11-22,0
326,2019-11-23,0
327,2019-11-24,0
328,2019-11-25,1
329,2019-11-26,1
330,2019-11-27,0
331,2019-11-28,0
332,2019-11-29,0
333,2019-11-30,0
334,2019-12-01,0
335,2019-12-02,0
336,2019-12-03,0
337,2019-12-04,0
338,2019-12-05,0
339,2019-12-06,0
340,2019-12-07,0
341,2019-12-08,0
342,2019-12-09,0
343,2019-12-10,0
344,2019-12-11,0
345,2019-12-12,0
346,2019-12-13,0
347,2019-12-14,0
348,2019-12-15,0
349,2019-12-16,0
350,2019-12-17,0
351,2019-12-18,0
352,2019-12-19,0
353,2019-12-20,0
354,2019-12-21,0
355,2019-12-22,0
356,2019-12-23,0
357,2019-12-24,0
358,2019-12-25,0
359,2019-12-26,0
360,2019-12-27,0
361,2019-12-28,0
362,2019-12-29,0
363,2019-12-30,0
364,2019-12-31,0
